"Row.names","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL"
"ILMN_1655595",-16619.2308163265,44137.2287244898,-2.8861894666782,0.0138935986963825,0.638656362345239,-4.3399633390097,"SERPINE2"
"ILMN_1687384",15387.660102381,7435.02123622449,3.89423923245391,0.00220238154472432,0.629621535190231,-4.22213116406574,"IFI6"
"ILMN_3249748",-13903.2227210884,26408.0668877551,-3.61241969016111,0.00366277539472042,0.629621535190231,-4.25187650676256,"LDHA"
"ILMN_1699829",-12470.115622449,23885.2595102041,-2.36540849899332,0.0360435721500349,0.69082294776,-4.4119917574081,"CCN2"
"ILMN_1813704",-12158.0695333333,10899.9528346939,-2.24924871034541,0.0444295012492973,0.693010005530554,-4.4287334525991,"CEMIP"
"ILMN_3207060",10474.429037415,16999.8652091837,2.75447704869866,0.0177076433980892,0.644842725523711,-4.35759319565274,"RPL4"
"ILMN_1732151",10395.539792517,15792.5921938776,3.77534366670869,0.00272718834810845,0.629621535190231,-4.2343768024323,"COL6A1"
"ILMN_1807106",-10310.2608163265,23253.0378622449,-3.33394638741493,0.0060915303654628,0.629621535190231,-4.28373035015012,"LDHA"
"ILMN_2094718",-9869.34942176869,45785.5240816327,-2.80549490383427,0.0161205969721412,0.642048761497024,-4.3507106189875,"TPT1"
"ILMN_1754990",-9361.50887755101,26554.7396938776,-3.67021394518919,0.00329806913717449,0.629621535190231,-4.24557303486336,"RPS27A"
"ILMN_2141444",9215.70969387756,27852.6836734694,4.50337725492873,0.00075482335275146,0.587828895898507,-4.16604960424956,"RPL18A"
"ILMN_2141453",9209.20816326531,26368.0425510204,4.68469798616788,0.000553667153932712,0.587828895898507,-4.15137516062397,"RPL18A"
"ILMN_2230624",8987.88819727892,30190.9810204082,2.69509555627955,0.0197500604877825,0.65458541055122,-4.36568579252083,"RPL18"
"ILMN_2396875",8918.56993537416,14341.2734846939,2.74970040337004,0.0178639179288876,0.644896294535245,-4.35824096091959,"IGFBP3"
"ILMN_2053178",-8830.98534013605,36769.7264795918,-2.62960112889804,0.0222722872120908,0.659288154827791,-4.37470836253512,"ACTG1"
"ILMN_2048326",-8540.49741496599,25720.4159183673,-3.64101711204131,0.0034774160189536,0.629621535190231,-4.24874426285391,"RPS27A"
"ILMN_1694742",-8406.02666666667,21936.896122449,-2.81968240248549,0.0157048663511312,0.63912447851532,-4.34880855456886,"RPS29"
"ILMN_2046730",-8301.5881292517,22811.7245204082,-2.21836110088158,0.0469552236721731,0.696589720884554,-4.4332097379764,"S100A10"
"ILMN_3227732",8270.90912585034,13504.3720918367,3.71603033182251,0.00303553134897684,0.629621535190231,-4.24065088550699,"RPS15"
"ILMN_1802252",8209.85687414966,10622.6881428571,2.90359974639617,0.0134547916799999,0.638656362345239,-4.33766758724293,"GAPDH"
"ILMN_2141452",8206.88115646259,26052.1904081633,4.1633852251369,0.00136491277696718,0.62446971465345,-4.19601040177203,"RPL18A"
"ILMN_1758067",-8117.89999217687,7880.49285561224,-2.76917777980687,0.0172351187814773,0.644475978587018,-4.35560320394277,"RGS4"
