"logFC","AveExpr","t","P.Value","adj.P.Val","B"
-803289.962962963,710786.666666667,-2.89863944111536,0.0256706649405781,0.361710735192419,-3.38518703245082
773312.444444445,1536909.2962963,2.52013069798108,0.0431427340774744,0.397781434953317,-3.65136092919732
463324.222222222,441358.037037037,6.42631319915459,0.000534057650220002,0.236062571955474,-1.96168175258792
-324697.759259259,111086.617283951,-2.57086728806358,0.0402062930817044,0.390347189786613,-3.61436681185302
172459.851851852,299825.691358025,2.56094708314913,0.0407634785455269,0.39227617946375,-3.6215700578195
-98964.0740740741,87007.8888888889,-2.94860084206622,0.0240011213943933,0.355686914101358,-3.35184145477237
97657.1111111111,155242.703703704,3.00606786040453,0.0222236239607654,0.353532035512608,-3.31402770390368
-97616.5185185185,88419.0493827161,-3.8324319240241,0.00774729562325549,0.285080872052312,-2.83528430578661
-95741.2962962963,133455.012345679,-3.85976762416452,0.00749504953803699,0.281736990327237,-2.82148079188884
-92605.5555555555,44140.7283950617,-2.57811617374669,0.0398042133526641,0.389430961121116,-3.6091126042285
-84270.8518518519,77694.8641975309,-4.07664478047465,0.00578729282345621,0.264092522009111,-2.71630505655463
76522.8888888889,89374.6049382716,3.13528660168007,0.0187235308490692,0.333800795997719,-3.23114189255708
-75882.3703703704,76050.6049382716,-3.2033746780211,0.0171229793123021,0.326929938604449,-3.18867008962931
62682.925925926,88995.1481481481,7.16838730772252,0.000287381073673237,0.236062571955474,-1.82285940094912
-59498.3333333333,69502.5925925926,-4.21225018058932,0.00494120921795589,0.261202176147179,-2.65433807997245
-56124.1111111111,63836.0864197531,-4.79219040014903,0.00259165757139123,0.240772671426026,-2.41951103995449
53380.9259259259,73756.987654321,2.62469151442262,0.0373197140921628,0.381021161444991,-3.57554430649778
49126.7777777778,85208.7777777778,2.96046682826358,0.0236219603854236,0.354278680545958,-3.34398591433693
-48586.5555555555,53106.2592592593,-4.2903426486544,0.00451697628836544,0.257297590255035,-2.61992764960774
-46454,23296.3888888889,-2.44294748217643,0.0480480052972695,0.405355858767314,-3.70834708873114
-43265.4074074074,46078.4814814815,-4.23043252659145,0.004838612615608,0.260706995637847,-2.64624423459268
-42046.037037037,45621.7407407407,-4.19112822458224,0.00506344276432403,0.264092522009111,-2.66380360102904
-40804.2592592592,47228.9012345679,-3.82429774744342,0.00782415428786958,0.285331623631654,-2.83941585630094
-39145.0740740741,54328.4074074074,-4.25188238876238,0.00472061444148108,0.260015809322966,-2.63676011376293
-34545.2222222222,38872.1481481482,-3.02285629582729,0.0217314556649176,0.352403115205245,-3.30309088677602
-30369.1851851852,39436.7654320988,-5.14109253969877,0.0017985010746007,0.236062571955474,-2.29928115384608
-29859.1481481481,39223.6296296296,-5.6311248995695,0.00110605639147465,0.236062571955474,-2.15302597122622
29667.1481481481,42484.0617283951,3.65960264486908,0.00957609584976514,0.288065612966523,-2.92547824695125
-29592.0740740741,10852.5802469136,-2.44646360796009,0.0478123370884131,0.405161191743431,-3.70573311241109
-29305.9814814815,34116.0555555555,-5.32531939371209,0.00149272136713049,0.236062571955474,-2.24139753882627
27960.2222222222,38889.8518518518,3.35445094995278,0.0140769842261584,0.315257697628823,-3.09740780366264
-27544.4814814815,33587.1604938272,-2.81561183940967,0.0287261626650071,0.365710496950522,-3.44155637191972
-26739.4074074074,32206.0864197531,-5.78205221756095,0.000957966450475234,0.236062571955474,-2.11268553125892
25699.8888888889,38889.8024691358,2.90315614852478,0.0255147341694643,0.361710735192419,-3.38215458945245
24128.9259259259,41240.5925925926,2.88395464872758,0.0261847182145673,0.361710735192419,-3.39507058900085
-22776.7407407407,32145.7901234568,-5.08226640562304,0.0019105623513783,0.236062571955474,-2.31855097375399
-21748.1111111111,27329.4320987654,-4.819561777419,0.00251691205568634,0.240772671426026,-2.40954627303963
21518.1481481481,45197.2222222222,2.78369109590933,0.0300022077463604,0.366937657447855,-3.46354048786436
-21242,30076.9506172839,-4.44988328666747,0.0037707182645503,0.243662782930164,-2.55242240975357
-21154,35021.1851851852,-5.0460805434138,0.00198339117572842,0.236062571955474,-2.3306001438052
-20677.4444444444,30141.5925925926,-4.56373888073162,0.00332237209889647,0.240772671426026,-2.50646119753481
-20620.5185185185,31935.2962962963,-3.37197503568328,0.0137637353099429,0.314579369153427,-3.08708703960292
-20138.8148148148,27313.4938271605,-5.331004645858,0.00148426534211212,0.236062571955474,-2.23966887987756
-19861.3333333333,31408.975308642,-3.50541691306932,0.0116136451325752,0.302033771677194,-3.01029420984226
-19786.7222222222,13179.2777777778,-2.525024548346,0.0428499344599461,0.397039908862026,-3.647776159882
-18360.037037037,19178.6666666667,-4.66018717686695,0.00298891698240103,0.240772671426026,-2.4689139147301
-18357.5185185185,26904.987654321,-3.96311793426785,0.00662020625999767,0.271731306381862,-2.7704090906151
-17979.1111111111,26131.1111111111,-5.80483088189466,0.000937628171594139,0.236062571955474,-2.10677399443029
17494.1851851852,24633.6666666667,3.48894002044301,0.0118580756383042,0.304548418992837,-3.01960503550673
-17199.0740740741,21595.6049382716,-5.59215610449367,0.00114838940982164,0.236062571955474,-2.1637814413176
